barcode,,name,shop,category_id,source_id,weight,source_url,image_url
9.33E+12,,Wet Ones Be Gentle Anti-Bacterial Hand & Face Wipes | 15 pack,coles,23821,8640039,15pack,https://www.coles.com.au/product/wet-ones-be-gentle-anti-bacterial-hand-and-face-wipes-15-pack-8640039,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8640039.jpg&w=640&q=90
9.33E+12,,Wet Ones Moist Wipes Gentle 15 Pack,Woolworths,23821,701906,15 Pack,https://www.woolworths.com.au/shop/productdetails/701906/wet-ones-moist-wipes-gentle,https://cdn0.woolworths.media/content/wowproductimages/large/701906.jpg
9.33E+12,,Wet Ones Be Gentle Anti-Bacterial Hand & Face Wipes | 40 pack,coles,23821,8640141,40pack,https://www.coles.com.au/product/wet-ones-be-gentle-anti-bacterial-hand-and-face-wipes-40-pack-8640141,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8640141.jpg&w=640&q=90
9.33E+12,,Wet Ones Moist Wipes Gentle 40 Pack,Woolworths,23821,701897,40 Pack,https://www.woolworths.com.au/shop/productdetails/701897/wet-ones-moist-wipes-gentle,https://cdn0.woolworths.media/content/wowproductimages/large/701897.jpg
9.31E+12,,Huggies Ultra Dry Nappy Pants Girls Size 6 (15kg+) | 48 pack,coles,22054,4156238,48pack,https://www.coles.com.au/product/huggies-ultra-dry-nappy-pants-girls-size-6-(15kg+)-48-pack-4156238,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4156238.jpg&w=640&q=90
9.31E+12,,Huggies Ultra Dry Nappy Pants Girls Size 6 (15kg+) 48 Pack,Woolworths,22054,151842,48 Pack,https://www.woolworths.com.au/shop/productdetails/151842/huggies-ultra-dry-nappy-pants-girls-size-6-15kg-,https://cdn0.woolworths.media/content/wowproductimages/large/151842.jpg
9.31E+12,,Golden Pikelets Original | 200g,coles,22077,54000,200g,https://www.coles.com.au/product/golden-pikelets-original-200g-54000,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F54000.jpg&w=640&q=90
9.31E+12,,Golden Pikelets 8 Pack,Woolworths,22077,46645,8 Pack,https://www.woolworths.com.au/shop/productdetails/46645/golden-pikelets,https://cdn0.woolworths.media/content/wowproductimages/large/046645.jpg
9.42E+12,,Toscano Choco Chip Waffles 4 pack | 360g,coles,22078,8995067,360g,https://www.coles.com.au/product/toscano-choco-chip-waffles-4-pack-360g-8995067,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8995067.jpg&w=640&q=90
9.42E+12,,Toscano Waffles Choc Chip 360g,Woolworths,22078,476143,360G,https://www.woolworths.com.au/shop/productdetails/476143/toscano-waffles-choc-chip,https://cdn0.woolworths.media/content/wowproductimages/large/476143.jpg
9.34E+12,,Tip Top The One Gluten Free White | 550g,coles,22079,4405660,550g,https://www.coles.com.au/product/tip-top-the-one-gluten-free-white-550g-4405660,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4405660.jpg&w=640&q=90
9.34E+12,,Tip Top The One Gluten Free White Bread Loaf Sandwich Bakery 550g,Woolworths,22079,165306,550g,https://www.woolworths.com.au/shop/productdetails/165306/tip-top-the-one-gluten-free-white-bread-loaf-sandwich-bakery,https://cdn0.woolworths.media/content/wowproductimages/large/165306.jpg
9.42E+12,,Toscano Gluten Free Pizza Base | 180g,coles,22079,2298297,180g,https://www.coles.com.au/product/toscano-gluten-free-pizza-base-180g-2298297,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2298297.jpg&w=640&q=90
9.42E+12,,Toscano Gluten Free Pizza Base 180g,Woolworths,22079,827400,180G,https://www.woolworths.com.au/shop/productdetails/827400/toscano-gluten-free-pizza-base,https://cdn0.woolworths.media/content/wowproductimages/large/827400.jpg
9.30E+12,,Coles Country Loaf Wholemeal | 750g,coles,22083,2649482,750g,https://www.coles.com.au/product/coles-country-loaf-wholemeal-750g-2649482,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2649482.jpg&w=640&q=90
9.30E+12,,Woolworths Country Loaf Wholemeal 750g,Woolworths,22083,433887,750G,https://www.woolworths.com.au/shop/productdetails/433887/woolworths-country-loaf-wholemeal,https://cdn0.woolworths.media/content/wowproductimages/large/433887.jpg
