barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9332059000962,Gaia Natural Baby Biodegradable Nappy Bags 50 pack,Woolworths,23827,156009,NSW,,700,,1400,50 pack,https://www.woolworths.com.au/shop/productdetails/156009/gaia-natural-baby-biodegradable-nappy-bags,https://cdn0.woolworths.media/content/wowproductimages/large/156009.jpg
9300633269012,Macro Organic Baby Food Chicken & Sweetcorn Pasta 6m 120g,Woolworths,22022,713599,NSW,175,160,146,133,120g,https://www.woolworths.com.au/shop/productdetails/713599/macro-organic-baby-food-chicken-sweetcorn-pasta-6m,https://cdn0.woolworths.media/content/wowproductimages/large/713599.jpg
9339687404414,Woolworths Finger Bun Inspired Filled Buns 4 pack,Woolworths,22064,6000654,NSW,550,450,138,113,4 pack,https://www.woolworths.com.au/shop/productdetails/6000654/woolworths-finger-bun-inspired-filled-buns,https://cdn0.woolworths.media/content/wowproductimages/large/6000654.jpg
9339687319398,Woolworths Cheese & Bacon Rolls 4 pack,Woolworths,22065,253493,NSW,480,430,120,108,4 pack,https://www.woolworths.com.au/shop/productdetails/253493/woolworths-cheese-bacon-rolls,https://cdn0.woolworths.media/content/wowproductimages/large/253493.jpg
0284452000003,Woolworths Anzac Biscuit Family 24 pack,Woolworths,22066,145667,NSW,700,650,29,27,24 pack,https://www.woolworths.com.au/shop/productdetails/145667/woolworths-anzac-biscuit-family,https://cdn0.woolworths.media/content/wowproductimages/large/145667.jpg
9339687330003,Woolworths Chocolate Chunk Cookies 5 pack,Woolworths,22066,306663,NSW,600,650,120,130,5 pack,https://www.woolworths.com.au/shop/productdetails/306663/woolworths-chocolate-chunk-cookies,https://cdn0.woolworths.media/content/wowproductimages/large/306663.jpg
0281957000002,Woolworths Cinnamon Donuts 12 pack,Woolworths,22066,405788,NSW,300,350,25,29,12 pack,https://www.woolworths.com.au/shop/productdetails/405788/woolworths-cinnamon-donuts,https://cdn0.woolworths.media/content/wowproductimages/large/405788.jpg
0280374000008,Woolworths Cookies Choc Chip 24 pack,Woolworths,22066,250627,NSW,700,650,29,27,24 pack,https://www.woolworths.com.au/shop/productdetails/250627/woolworths-cookies-choc-chip,https://cdn0.woolworths.media/content/wowproductimages/large/250627.jpg
0280004000002,Woolworths Cookies Jam Drop 14 pack,Woolworths,22066,185739,NSW,350,400,25,29,14 pack,https://www.woolworths.com.au/shop/productdetails/185739/woolworths-cookies-jam-drop,https://cdn0.woolworths.media/content/wowproductimages/large/185739.jpg
0284842000002,Woolworths Funfetti Cookies 24 pack,Woolworths,22066,283417,NSW,700,650,29,27,24 pack,https://www.woolworths.com.au/shop/productdetails/283417/woolworths-funfetti-cookies,https://cdn0.woolworths.media/content/wowproductimages/large/283417.jpg
0280841000005,Woolworths Plantitude Granola Cookies 5 pack,Woolworths,22066,70720,NSW,400,430,80,86,5 pack,https://www.woolworths.com.au/shop/productdetails/70720/woolworths-plantitude-granola-cookies,https://cdn0.woolworths.media/content/wowproductimages/large/070720.jpg
9339687330010,Woolworths Salted Caramel Pretzel Cookies 5 pack,Woolworths,22066,306668,NSW,600,650,120,130,5 pack,https://www.woolworths.com.au/shop/productdetails/306668/woolworths-salted-caramel-pretzel-cookies,https://cdn0.woolworths.media/content/wowproductimages/large/306668.jpg
9339687330027,Woolworths White Chocolate & Raspberry Cookies 5 pack,Woolworths,22066,306665,NSW,600,650,120,130,5 pack,https://www.woolworths.com.au/shop/productdetails/306665/woolworths-white-chocolate-raspberry-cookies,https://cdn0.woolworths.media/content/wowproductimages/large/306665.jpg
0289960000002,Woolworths Portuguese Tarts 4 pack,Woolworths,22068,781712,NSW,650,700,163,175,4 pack,https://www.woolworths.com.au/shop/productdetails/781712/woolworths-portuguese-tarts,https://cdn0.woolworths.media/content/wowproductimages/large/781712.jpg
0285239000001,Woolworths Butter Croissant 10 pack,Woolworths,22068,66921,NSW,950,850,95,85,10 pack,https://www.woolworths.com.au/shop/productdetails/66921/woolworths-butter-croissant,https://cdn0.woolworths.media/content/wowproductimages/large/066921.jpg
0285286000009,Woolworths Large Croissants 4 pack,Woolworths,22068,66973,NSW,350,400,88,100,4 pack,https://www.woolworths.com.au/shop/productdetails/66973/woolworths-large-croissants,https://cdn0.woolworths.media/content/wowproductimages/large/066973.jpg
0284909000006,Woolworths Mini Chocolate Croissant 8 pack,Woolworths,22068,517746,NSW,400,460,50,58,8 pack,https://www.woolworths.com.au/shop/productdetails/517746/woolworths-mini-chocolate-croissant,https://cdn0.woolworths.media/content/wowproductimages/large/517746.jpg
