barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9403145303431,Only Organic Cauliflower Broccoli & Cheddar | 120g,coles,22026,2134303,NSW,180,230,150,192,120g,https://www.coles.com.au/product/only-organic-cauliflower-broccoli-and-cheddar-120g-2134303,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2134303.jpg&w=640&q=90
9403145304209,Only Organic Beef Bolognese Pasta 1-5 Years | 220g,coles,22026,2134325,NSW,350,385,159,175,220g,https://www.coles.com.au/product/only-organic-beef-bolognese-pasta-1-5-years-220g-2134325,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2134325.jpg&w=640&q=90
9403145303202,Only Organic Mango & Yoghurt Brekkie Baby Food Pouch 8+ Months | 120g,coles,22026,2134336,NSW,180,230,150,192,120g,https://www.coles.com.au/product/only-organic-mango-and-yoghurt-brekkie-baby-food-pouch-8+-months-120g-2134336,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2134336.jpg&w=640&q=90
9403145304223,Only Organic Kindy 1-5 Years Vegetable Macaroni & Cheese Pasta Express | 220g,coles,22026,2134347,NSW,350,385,159,175,220g,https://www.coles.com.au/product/only-organic-kindy-1-5-years-vegetable-macaroni-and-cheese-pasta-express-220g-2134347,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2134347.jpg&w=640&q=90
9403145303219,Only Organic Banana Berries & Yoghurt Brekkie Baby Food Pouch 8+ Months | 120g,coles,22026,2134358,NSW,180,230,150,192,120g,https://www.coles.com.au/product/only-organic-banana-berries-and-yoghurt-brekkie-baby-food-pouch-8+-months-120g-2134358,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2134358.jpg&w=640&q=90
9332045001218,Bellamy's Organic Apple & Fig Oatmeal Puree 4+ Months | 120g,coles,22026,2153308,NSW,135,230,113,192,120g,https://www.coles.com.au/product/bellamy's-organic-apple-and-fig-oatmeal-puree-4+-months-120g-2153308,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2153308.jpg&w=640&q=90
9332045001225,Bellamy's Organic Pouch Banana Apple Porridge | 120g,coles,22026,2153352,NSW,135,230,113,192,120g,https://www.coles.com.au/product/bellamy's-organic-pouch-banana-apple-porridge-120g-2153352,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2153352.jpg&w=640&q=90
5060040259207,Kiddylicious Raspberry Crispie Tiddlers 12+ Months | 12g,coles,22025,2364948,NSW,175,220,1458,1833,12g,https://www.coles.com.au/product/kiddylicious-raspberry-crispie-tiddlers-12+-months-12g-2364948,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2364948.jpg&w=640&q=90
5060040256305,Kiddylicious Strawberry Fruit Wriggles 12+ Months | 12g,coles,22025,2365099,NSW,175,220,1458,1833,12g,https://www.coles.com.au/product/kiddylicious-strawberry-fruit-wriggles-12+-months-12g-2365099,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2365099.jpg&w=640&q=90
5060040257036,Kiddylicious Banana Fruity Puffs 7+ Months | 10g,coles,22025,2365146,NSW,175,220,1750,2200,10g,https://www.coles.com.au/product/kiddylicious-banana-fruity-puffs-7+-months-10g-2365146,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2365146.jpg&w=640&q=90
