barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9310021034160,Lipton Intense Extra Strong Black Tea Bags | 100 pack,coles,23944,4678029,NSW,780,800,8,8,100pack,https://www.coles.com.au/product/lipton-intense-extra-strong-black-tea-bags-100-pack-4678029,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4678029.jpg&w=640&q=90
9316705000186,Coles Durian Imported | approx .2kg,coles,22364,111227,VIC,,3800,,1900,.2kg,https://www.coles.com.au/product/coles-durian-imported-approx-.2kg-111227,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F111227.jpg&w=640&q=90
9316705000186,Coles Durian Imported | approx .2kg,coles,22364,111227,NSW,3800,3800,1900,1900,.2kg,https://www.coles.com.au/product/coles-durian-imported-approx-.2kg-111227,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F111227.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,VIC,,790,,2633,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,NSW,790,790,2633,2633,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,QLD,,850,,2833,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,WA,,890,,2967,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,SA,,850,,2833,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,TAS,,990,,3300,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,ACT,,790,,2633,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
9350489000109,Coles Cherry Us Red | 300g,coles,22355,1325452,NT,,850,,2833,300g,https://www.coles.com.au/product/coles-cherry-us-red-300g-1325452,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1325452.jpg&w=640&q=90
