Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
8001585001040,Balconi Mix Max Cocoa Cakes 10 pack | 350g,coles,22076,5088122,NSW,725,770,207,220,350g,https://www.coles.com.au/product/balconi-mix-max-cocoa-cakes-10-pack-350g-5088122,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5088122.jpg&w=640&q=90
9315822013161,Coles Deli Thawed Peeled Garlic Prawns | approx. 250g,coles,24055,3165594,NSW,,825,,3300,250g,https://www.coles.com.au/product/coles-deli-thawed-peeled-garlic-prawns-approx.-250g-3165594,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3165594.jpg&w=640&q=90
9369999004477,Seabounty Fresh Blue Mussels | 1 KG,coles,24055,5145758,NSW,,800,,800,1kg,https://www.coles.com.au/product/seabounty-fresh-blue-mussels-1-kg-5145758,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5145758.jpg&w=640&q=90
5065000523183,Pukka Night Time Tea Sachets 20 pack | 20g,coles,22228,3248771,NSW,850,900,43,45,20g,https://www.coles.com.au/product/pukka-night-time-tea-sachets-20-pack-20g-3248771,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3248771.jpg&w=640&q=90
5060229011534,Pukka Lemon Ginger & Manuka Honey Tea Sachets 20 pack | 40g,coles,22228,3248793,NSW,850,900,43,45,40g,https://www.coles.com.au/product/pukka-lemon-ginger-and-manuka-honey-tea-sachets-20-pack-40g-3248793,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3248793.jpg&w=640&q=90
5065000523138,Pukka Three Mint Herbal Tea Sachets 20 pack | 32g,coles,22228,3248807,NSW,850,900,43,45,32g,https://www.coles.com.au/product/pukka-three-mint-herbal-tea-sachets-20-pack-32g-3248807,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3248807.jpg&w=640&q=90
5060229011107,Pukka Tea Peppermint & Licorice | 20 pack,coles,22228,3988508,NSW,850,900,43,45,20pack,https://www.coles.com.au/product/pukka-tea-peppermint-and-licorice-20-pack-3988508,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3988508.jpg&w=640&q=90
9316454000055,Oxfam Fair Ethiopia Blend Ground Coffee | 250g,coles,22174,4824540,NSW,1085,1200,434,480,250g,https://www.coles.com.au/product/oxfam-fair-ethiopia-blend-ground-coffee-250g-4824540,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4824540.jpg&w=640&q=90
9310200011036,Jed's No.3 Strong Coffee Beans | 1kg,coles,22171,6314180,NSW,4000,5000,400,500,1kg,https://www.coles.com.au/product/jed's-no.3-strong-coffee-beans-1kg-6314180,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6314180.jpg&w=640&q=90
9310200011098,Jed's No.5 Extra Strong Coffee Beans | 1kg,coles,22171,6314216,NSW,4000,5000,400,500,1kg,https://www.coles.com.au/product/jed's-no.5-extra-strong-coffee-beans-1kg-6314216,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6314216.jpg&w=640&q=90
9310200011159,Jed's No.X Extreme Coffee Beans | 1kg,coles,22171,6314227,NSW,4000,5000,400,500,1kg,https://www.coles.com.au/product/jed's-no.x-extreme-coffee-beans-1kg-6314227,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6314227.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,NSW,70,70,290,290,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,VIC,94,118,390,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,QLD,118,118,490,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,WA,166,166,690,690,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,SA,94,118,390,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,TAS,118,118,490,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,ACT,70,70,290,290,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,NT,94,118,390,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,NSW,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,VIC,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,QLD,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,WA,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,SA,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,TAS,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,ACT,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,NT,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,NSW,,290,,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,QLD,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,SA,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
