Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9355449000571,Bunjie Baby Gentle Shampoo 500mL,Woolworths,23821,6022170,NSW,2000,2100,400,420,500mL,https://www.woolworths.com.au/shop/productdetails/6022170/bunjie-baby-gentle-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/6022170.jpg
9355449000076,Bunjie Baby Hide & Squeak Bubble Bath 500mL,Woolworths,23821,217781,NSW,1600,1680,320,336,500mL,https://www.woolworths.com.au/shop/productdetails/217781/bunjie-baby-hide-squeak-bubble-bath,https://cdn0.woolworths.media/content/wowproductimages/large/217781.jpg
9300607450149,Johnson's Bedtime Gentle Calming Scented Tear Free Baby Bath 500ml,Woolworths,23821,169285,NSW,1100,1155,220,231,500mL,https://www.woolworths.com.au/shop/productdetails/169285/johnson-s-bedtime-gentle-calming-scented-tear-free-baby-bath,https://cdn0.woolworths.media/content/wowproductimages/large/169285.jpg
9300607251647,Johnson's Gentle Moisturising Baby Soap Bar 95g x 2 pack,Woolworths,23821,136074,NSW,450,495,237,261,95g x 2 pack,https://www.woolworths.com.au/shop/productdetails/136074/johnson-s-gentle-moisturising-baby-soap-bar,https://cdn0.woolworths.media/content/wowproductimages/large/136074.jpg
9556006012413,Johnson's Top-To-Toe Baby Bath 500ml,Woolworths,23821,145539,NSW,1100,1155,220,231,500mL,https://www.woolworths.com.au/shop/productdetails/145539/johnson-s-top-to-toe-baby-bath,https://cdn0.woolworths.media/content/wowproductimages/large/145539.jpg
9355449000311,Bunjie Baby Nappy & Barrier Cream 250g,Woolworths,23821,6024268,NSW,2500,2625,1000,1050,250g,https://www.woolworths.com.au/shop/productdetails/6024268/bunjie-baby-nappy-barrier-cream,https://cdn0.woolworths.media/content/wowproductimages/large/6024268.jpg
9339687268740,Little One's Baby Powder With Cornstarch 200g,Woolworths,23821,171204,NSW,200,220,100,110,200g,https://www.woolworths.com.au/shop/productdetails/171204/little-one-s-baby-powder-with-cornstarch,https://cdn0.woolworths.media/content/wowproductimages/large/171204.jpg
5011025047005,Sudocrem Nappy Rash Cream 125g,Woolworths,23821,140756,NSW,1470,1545,1176,1236,125g,https://www.woolworths.com.au/shop/productdetails/140756/sudocrem-nappy-rash-cream,https://cdn0.woolworths.media/content/wowproductimages/large/140756.jpg
9300710003010,Euky Bear Eucalyptus Chest Rub 50g,Woolworths,23822,894061,NSW,900,990,1800,1980,50g,https://www.woolworths.com.au/shop/productdetails/894061/euky-bear-eucalyptus-chest-rub,https://cdn0.woolworths.media/content/wowproductimages/large/894061.jpg
9349649000660,Infacol Effective Colic Relief 50ml,Woolworths,23822,91412,NSW,1850,1940,3700,3880,50mL,https://www.woolworths.com.au/shop/productdetails/91412/infacol-effective-colic-relief,https://cdn0.woolworths.media/content/wowproductimages/large/091412.jpg
9333583005157,Milton Anti Bacterial Tablets 30 pack,Woolworths,23822,32836,NSW,1050,1155,35,39,30 pack,https://www.woolworths.com.au/shop/productdetails/32836/milton-anti-bacterial-tablets,https://cdn0.woolworths.media/content/wowproductimages/large/032836.jpg
9332059000962,Gaia Natural Baby Biodegradable Nappy Bags 50 pack,Woolworths,23827,156009,NSW,700,770,1400,1540,50 pack,https://www.woolworths.com.au/shop/productdetails/156009/gaia-natural-baby-biodegradable-nappy-bags,https://cdn0.woolworths.media/content/wowproductimages/large/156009.jpg
3361370683956,Milton Baby Bottle Cleaner 500mL,Woolworths,23827,633080,NSW,700,735,140,147,500mL,https://www.woolworths.com.au/shop/productdetails/633080/milton-baby-bottle-cleaner,https://cdn0.woolworths.media/content/wowproductimages/large/633080.jpg
9353965019251,B.Box Connect A Cup Assorted each,Woolworths,23827,93086,NSW,,1300,,1300,each,https://www.woolworths.com.au/shop/productdetails/93086/b-box-connect-a-cup-assorted,https://cdn0.woolworths.media/content/wowproductimages/large/093086.jpg
4710144809907,Baby Mum-Mum Snack Banana Rice Rusk 18 pack,Woolworths,22020,379237,NSW,385,405,1069,1125,18 pack,https://www.woolworths.com.au/shop/productdetails/379237/baby-mum-mum-snack-banana-rice-rusk,https://cdn0.woolworths.media/content/wowproductimages/large/379237.jpg
9421901088415,Rafferty's Garden Baby Food Banana Fruit Snack Bars 12+ Months 8 pack,Woolworths,22020,335206,NSW,550,580,430,453,8 pack,https://www.woolworths.com.au/shop/productdetails/335206/rafferty-s-garden-baby-food-banana-fruit-snack-bars-12-months,https://cdn0.woolworths.media/content/wowproductimages/large/335206.jpg
