Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
4711127202234,Hot Kids Want Want Rice Crackers Shelly Senbei | 150g,coles,22849,1404377,NSW,450,380,300,253,150g,https://www.coles.com.au/product/hot-kids-want-want-rice-crackers-shelly-senbei-150g-1404377,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1404377.jpg&w=640&q=90
9323015006265,Pacific West Japanese Gyoza | 700g,coles,22849,1549370,NSW,750,1250,107,179,700g,https://www.coles.com.au/product/pacific-west-japanese-gyoza-700g-1549370,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1549370.jpg&w=640&q=90
5060336505025,Branston Original Pickle | 360g,coles,22859,1689142,NSW,550,880,153,244,360g,https://www.coles.com.au/product/branston-original-pickle-360g-1689142,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1689142.jpg&w=640&q=90
8852022032598,Kewpie Japanese Dressing Sesame Soy Sauce | 210mL,coles,22849,2000555,NSW,415,520,198,248,210ml,https://www.coles.com.au/product/kewpie-japanese-dressing-sesame-soy-sauce-210ml-2000555,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2000555.jpg&w=640&q=90
9310432003212,Obento Panko Bread Crumbs | 200g,coles,22849,2017230,NSW,230,290,115,145,200g,https://www.coles.com.au/product/obento-panko-bread-crumbs-200g-2017230,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2017230.jpg&w=640&q=90
9310432003564,Obento Ramen Noodles | 150g,coles,22849,2017412,NSW,130,170,87,113,150g,https://www.coles.com.au/product/obento-ramen-noodles-150g-2017412,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2017412.jpg&w=640&q=90
5000159470292,Galaxy Chocolate Bar | 42g,coles,22859,2040414,NSW,230,270,548,643,42g,https://www.coles.com.au/product/galaxy-chocolate-bar-42g-2040414,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2040414.jpg&w=640&q=90
9300657240424,Wattie's Tomato Sauce | 560g,coles,22859,2060615,NSW,500,430,89,77,560g,https://www.coles.com.au/product/wattie's-tomato-sauce-560g-2060615,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2060615.jpg&w=640&q=90
9300695001469,Old El Paso Corn Jumbo Taco Shells 10 pack | 190g,coles,22855,216247,NSW,495,550,261,289,190g,https://www.coles.com.au/product/old-el-paso-corn-jumbo-taco-shells-10-pack-190g-216247,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F216247.jpg&w=640&q=90
7501017440030,La Costena Whole Black Beans | 400g,coles,22855,2373483,NSW,280,400,70,100,400g,https://www.coles.com.au/product/la-costena-whole-black-beans-400g-2373483,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2373483.jpg&w=640&q=90
7501017855032,La Costena Chipotle In Adobo Sauce | 230g,coles,22855,2373530,NSW,520,650,226,283,230g,https://www.coles.com.au/product/la-costena-chipotle-in-adobo-sauce-230g-2373530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2373530.jpg&w=640&q=90
4901777286177,The Chita Japanese Whisky 700mL | 1 Each,coles,22849,3222621,NSW,10000,11800,14286,16857,1each,https://www.coles.com.au/product/the-chita-japanese-whisky-700ml-1-each-3222621,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3222621.jpg&w=640&q=90
5060336505209,Branston Small Chunk Pickle | 360g,coles,22859,3260686,NSW,640,750,1778,2083,360g,https://www.coles.com.au/product/branston-small-chunk-pickle-360g-3260686,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3260686.jpg&w=640&q=90
