Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9421027313064,Naturely Nourish Baby Bedtime Bath 275mL,Woolworths,23821,4214,NSW,600,1000,218,364,275mL,https://www.woolworths.com.au/shop/productdetails/4214/naturely-nourish-baby-bedtime-bath,https://cdn0.woolworths.media/content/wowproductimages/large/004214.jpg
53996671,Sudocrem Nappy Rash Cream Tube 30g,Woolworths,23821,341157,NSW,690,865,2300,2883,30g,https://www.woolworths.com.au/shop/productdetails/341157/sudocrem-nappy-rash-cream-tube,https://cdn0.woolworths.media/content/wowproductimages/large/341157.jpg
9314889620411,New Beginnings Bamboo Nursing Pads 80 pack,Woolworths,23827,292100,NSW,890,1050,11,13,80 pack,https://www.woolworths.com.au/shop/productdetails/292100/new-beginnings-bamboo-nursing-pads,https://cdn0.woolworths.media/content/wowproductimages/large/292100.jpg
4710144809907,Baby Mum-Mum Snack Banana Rice Rusk 18 pack,Woolworths,22020,379237,NSW,385,280,1069,778,18 pack,https://www.woolworths.com.au/shop/productdetails/379237/baby-mum-mum-snack-banana-rice-rusk,https://cdn0.woolworths.media/content/wowproductimages/large/379237.jpg
9300657231767,Heinz Little Kids Yoghurt Muesli Fingers Baby Food 1-3 Years 90g,Woolworths,22020,227154,NSW,300,400,333,444,90g,https://www.woolworths.com.au/shop/productdetails/227154/heinz-little-kids-yoghurt-muesli-fingers-baby-food-1-3-years,https://cdn0.woolworths.media/content/wowproductimages/large/227154.jpg
9403145304667,Only Organic Chicken Bolognese 170g,Woolworths,22020,681967,NSW,265,315,156,185,170g,https://www.woolworths.com.au/shop/productdetails/681967/only-organic-chicken-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/681967.jpg
9403145304681,Only Organic Pasta Bolognese 170g,Woolworths,22020,660268,NSW,265,315,156,185,170g,https://www.woolworths.com.au/shop/productdetails/660268/only-organic-pasta-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/660268.jpg
9332045001874,Bellamy's Organic Organic Baby Rice With Prebiotic 4+ Months 125g,Woolworths,22021,791640,NSW,375,440,300,352,125g,https://www.woolworths.com.au/shop/productdetails/791640/bellamy-s-organic-organic-baby-rice-with-prebiotic-4-months,https://cdn0.woolworths.media/content/wowproductimages/large/791640.jpg
9421901080013,"Rafferty's Garden Baby Food Pouch Apple, Pear & Cinnamon 4+ Months 120g",Woolworths,22021,291279,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/291279/rafferty-s-garden-baby-food-pouch-apple-pear-cinnamon-4-months,https://cdn0.woolworths.media/content/wowproductimages/large/291279.jpg
9421901080051,"Rafferty's Garden Baby Food Pouch Blueberries, Banana & Apple 4+ Months 120g",Woolworths,22021,291277,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/291277/rafferty-s-garden-baby-food-pouch-blueberries-banana-apple-4-months,https://cdn0.woolworths.media/content/wowproductimages/large/291277.jpg
9421901088071,Rafferty's Garden Baby Food Pouch Pear & Superberries 4+ Months 120g,Woolworths,22021,709604,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/709604/rafferty-s-garden-baby-food-pouch-pear-superberries-4-months,https://cdn0.woolworths.media/content/wowproductimages/large/709604.jpg
9421901080044,"Rafferty's Garden Baby Food Pouch Pumpkin, Apple & Sweetcorn 4+ Months 120g",Woolworths,22021,291188,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/291188/rafferty-s-garden-baby-food-pouch-pumpkin-apple-sweetcorn-4-months,https://cdn0.woolworths.media/content/wowproductimages/large/291188.jpg
9421901080303,Rafferty's Garden Baby Food Pouch Chocolate Custard 6+ Months 120g,Woolworths,22022,315435,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/315435/rafferty-s-garden-baby-food-pouch-chocolate-custard-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/315435.jpg
9421901088750,Rafferty's Garden Baby Food Pouch Vanilla Custard 6+ Months 120g,Woolworths,22022,742732,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/742732/rafferty-s-garden-baby-food-pouch-vanilla-custard-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/742732.jpg
9340156092001,Rafferty's Garden Banana & Mango Custard Baby Food Pouch Dessert 6+ Months 120g,Woolworths,22022,226222,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/226222/rafferty-s-garden-banana-mango-custard-baby-food-pouch-dessert-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/226222.jpg
9340156006312,Rafferty's Garden Blueberry & Banana Custard Baby Food Pouch 6+ Months 120g,Woolworths,22022,306619,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/306619/rafferty-s-garden-blueberry-banana-custard-baby-food-pouch-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/306619.jpg
9340156016793,Rafferty's Garden Strawberry & Vanilla Custard Baby Food Pouch 6+ Months 120g,Woolworths,22022,309249,NSW,215,180,179,150,120g,https://www.woolworths.com.au/shop/productdetails/309249/rafferty-s-garden-strawberry-vanilla-custard-baby-food-pouch-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/309249.jpg
9340156091974,Rafferty's Garden Strawberry & Chia Yoghurt Brekkie Baby Food 8+ Months 120g,Woolworths,22023,225747,NSW,215,170,179,142,120g,https://www.woolworths.com.au/shop/productdetails/225747/rafferty-s-garden-strawberry-chia-yoghurt-brekkie-baby-food-8-months,https://cdn0.woolworths.media/content/wowproductimages/large/225747.jpg
4710144805435,Baby Mum-Mum Organiic Rice Rusks Blueberry & Carrot 18 pack,Woolworths,22025,634312,NSW,385,280,1069,778,18 pack,https://www.woolworths.com.au/shop/productdetails/634312/baby-mum-mum-organiic-rice-rusks-blueberry-carrot,https://cdn0.woolworths.media/content/wowproductimages/large/634312.jpg
4710144809587,Baby Mum-Mum Snack Vegetable Rice Rusk 36g,Woolworths,22025,323375,NSW,385,280,1069,778,36g,https://www.woolworths.com.au/shop/productdetails/323375/baby-mum-mum-snack-vegetable-rice-rusk,https://cdn0.woolworths.media/content/wowproductimages/large/323375.jpg
686352602750,Baby Mum-Mum Strawberry & Beetroot Rusks 18 pack,Woolworths,22025,113624,NSW,385,280,1069,778,18 pack,https://www.woolworths.com.au/shop/productdetails/113624/baby-mum-mum-strawberry-beetroot-rusks,https://cdn0.woolworths.media/content/wowproductimages/large/113624.jpg
9337824003360,Little Bellies Organic Berry & Apple Softcorn 30g,Woolworths,22025,175720,NSW,380,475,1267,1583,30g,https://www.woolworths.com.au/shop/productdetails/175720/little-bellies-organic-berry-apple-softcorn,https://cdn0.woolworths.media/content/wowproductimages/large/175720.jpg
9403145304209,Only Organic Beef Bolognese 220g,Woolworths,22025,933166,NSW,350,385,159,175,220g,https://www.woolworths.com.au/shop/productdetails/933166/only-organic-beef-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/933166.jpg
9403145305190,Only Organic Chicken Vegetables & Star Pasta 170g,Woolworths,22025,133046,NSW,265,315,156,185,170g,https://www.woolworths.com.au/shop/productdetails/133046/only-organic-chicken-vegetables-star-pasta,https://cdn0.woolworths.media/content/wowproductimages/large/133046.jpg
9403145304223,Only Organic Macaroni Cheese 220g,Woolworths,22025,934475,NSW,350,385,159,175,220g,https://www.woolworths.com.au/shop/productdetails/934475/only-organic-macaroni-cheese,https://cdn0.woolworths.media/content/wowproductimages/large/934475.jpg
9403145304650,Only Organic Mango Chicken & Coconut Rice 170g,Woolworths,22025,682039,NSW,265,315,156,185,170g,https://www.woolworths.com.au/shop/productdetails/682039/only-organic-mango-chicken-coconut-rice,https://cdn0.woolworths.media/content/wowproductimages/large/682039.jpg
9403145305565,Only Organic Oat Bars Banana & Raisin 6 Pack,Woolworths,22025,226074,NSW,500,550,417,458,6 pack,https://www.woolworths.com.au/shop/productdetails/226074/only-organic-oat-bars-banana-raisin,https://cdn0.woolworths.media/content/wowproductimages/large/226074.jpg
