barcode,name,shop,category_id,source_id,state,old_price,new_price,weight,source_url,,,image_url
9.30061E+12,Johnson's Bedtime Gentle Calming Scented Tear Free Baby Bath 500ml,Woolworths,23821,169285,NSW,1100,660,500mL,https://www.woolworths.com.au/shop/productdetails/169285/johnson-s-bedtime-gentle-calming-scented-tear-free-baby-bath,,,https://cdn0.woolworths.media/content/wowproductimages/large/169285.jpg
9.30061E+12,Johnson's Hypoallergenic Gentle Tear Free Cleansing Baby Shampoo 500ml,Woolworths,23821,114110,NSW,1100,660,500mL,https://www.woolworths.com.au/shop/productdetails/114110/johnson-s-hypoallergenic-gentle-tear-free-cleansing-baby-shampoo,,,https://cdn0.woolworths.media/content/wowproductimages/large/114110.jpg
9.55601E+12,Johnson's Top-To-Toe Baby Bath 500ml,Woolworths,23821,145539,NSW,1100,660,500mL,https://www.woolworths.com.au/shop/productdetails/145539/johnson-s-top-to-toe-baby-bath,,,https://cdn0.woolworths.media/content/wowproductimages/large/145539.jpg
4.00581E+12,Nivea Crème Soft Care Body Soap Twin Pack 100g x 2 pack,Woolworths,23821,364482,NSW,450,315,100g x 2 pack,https://www.woolworths.com.au/shop/productdetails/364482/nivea-cr-me-soft-care-body-soap-twin-pack,,,https://cdn0.woolworths.media/content/wowproductimages/large/364482.jpg
9.31069E+12,Natural State Jasmine & Nectarine Blossom Body Wash Refill 700mL,Woolworths,23821,198587,NSW,450,540,700mL,https://www.woolworths.com.au/shop/productdetails/198587/natural-state-jasmine-nectarine-blossom-body-wash-refill,,,https://cdn0.woolworths.media/content/wowproductimages/large/198587.jpg
9.31069E+12,"Natural State Vanilla, Coconut & Lime Body Wash Refill 700mL",Woolworths,23821,198124,NSW,450,540,700mL,https://www.woolworths.com.au/shop/productdetails/198124/natural-state-vanilla-coconut-lime-body-wash-refill,,,https://cdn0.woolworths.media/content/wowproductimages/large/198124.jpg
8.85001E+12,Palmolive Kids 3 In 1 Strawberry Trolls 700mL,Woolworths,23821,46238,NSW,630,450,700mL,https://www.woolworths.com.au/shop/productdetails/46238/palmolive-kids-3-in-1-strawberry-trolls,,,https://cdn0.woolworths.media/content/wowproductimages/large/046238.jpg
9.30063E+12,Dettol Antibacterial Foam Hand Wash Soap Refill Vanilla & Orchid 900mL,Woolworths,23821,282029,NSW,1050,840,900mL,https://www.woolworths.com.au/shop/productdetails/282029/dettol-antibacterial-foam-hand-wash-soap-refill-vanilla-orchid,,,https://cdn0.woolworths.media/content/wowproductimages/large/282029.jpg
9.3007E+12,Dettol Antibacterial Foam Handwash Lime And Orange Blossom Refill 900ml,Woolworths,23821,51633,NSW,1050,840,900mL,https://www.woolworths.com.au/shop/productdetails/51633/dettol-antibacterial-foam-handwash-lime-and-orange-blossom-refill,,,https://cdn0.woolworths.media/content/wowproductimages/large/051633.jpg
9.30063E+12,Dettol Antibacterial Liquid Hand Wash Pump Aloe Vera & Vitamin E 500mL,Woolworths,23821,267236,NSW,550,440,500mL,https://www.woolworths.com.au/shop/productdetails/267236/dettol-antibacterial-liquid-hand-wash-pump-aloe-vera-vitamin-e,,,https://cdn0.woolworths.media/content/wowproductimages/large/267236.jpg
9.30063E+12,Dettol Antibacterial Liquid Hand Wash Pump Grapefruit 500mL,Woolworths,23821,267232,NSW,550,440,500mL,https://www.woolworths.com.au/shop/productdetails/267232/dettol-antibacterial-liquid-hand-wash-pump-grapefruit,,,https://cdn0.woolworths.media/content/wowproductimages/large/267232.jpg
9.34892E+12,Freshwater Farm Australia Lemon Myrtle Oil & Manuka Honey Hand Wash 500mL,Woolworths,23821,224779,NSW,1650,990,500mL,https://www.woolworths.com.au/shop/productdetails/224779/freshwater-farm-australia-lemon-myrtle-oil-manuka-honey-hand-wash,,,https://cdn0.woolworths.media/content/wowproductimages/large/224779.jpg
9.34892E+12,Freshwater Farm Australia Roswater & Pink Clay Hand Wash 500mL,Woolworths,23821,908240,NSW,1650,990,500mL,https://www.woolworths.com.au/shop/productdetails/908240/freshwater-farm-australia-roswater-pink-clay-hand-wash,,,https://cdn0.woolworths.media/content/wowproductimages/large/908240.jpg
9.31069E+12,Natural State Fresh Juniper Hand Wash Refill 700mL,Woolworths,23821,197161,NSW,900,540,700mL,https://www.woolworths.com.au/shop/productdetails/197161/natural-state-fresh-juniper-hand-wash-refill,,,https://cdn0.woolworths.media/content/wowproductimages/large/197161.jpg
9.31069E+12,Natural State Lavender & Sandalwood Hand Wash Refill 700mL,Woolworths,23821,198142,NSW,900,540,700mL,https://www.woolworths.com.au/shop/productdetails/198142/natural-state-lavender-sandalwood-hand-wash-refill,,,https://cdn0.woolworths.media/content/wowproductimages/large/198142.jpg
8.85001E+12,Palmolive Foaming Liquid Hand Wash Soap Refill Raspberry 1l,Woolworths,23821,686435,NSW,900,540,1L,https://www.woolworths.com.au/shop/productdetails/686435/palmolive-foaming-liquid-hand-wash-soap-refill-raspberry,,,https://cdn0.woolworths.media/content/wowproductimages/large/686435.jpg
9.30083E+12,Dove Womans Deodorant Zero Cucumber 250mL,Woolworths,23821,51919,NSW,1150,800,250mL,https://www.woolworths.com.au/shop/productdetails/51919/dove-womans-deodorant-zero-cucumber,,,https://cdn0.woolworths.media/content/wowproductimages/large/051919.jpg
9.35689E+12,Gem Deodorant Antiperspirant Cool Fresh 127g,Woolworths,23821,911492,NSW,1050,525,127g,https://www.woolworths.com.au/shop/productdetails/911492/gem-deodorant-antiperspirant-cool-fresh,,,https://cdn0.woolworths.media/content/wowproductimages/large/911492.jpg
9.35689E+12,Gem Deodorant Antiperspirant Santal 127g,Woolworths,23821,910267,NSW,1050,525,127g,https://www.woolworths.com.au/shop/productdetails/910267/gem-deodorant-antiperspirant-santal,,,https://cdn0.woolworths.media/content/wowproductimages/large/910267.jpg
9.35689E+12,Gem Deodorant Antiperspirant Vanilla Macadamia 127g,Woolworths,23821,911300,NSW,1050,525,127g,https://www.woolworths.com.au/shop/productdetails/911300/gem-deodorant-antiperspirant-vanilla-macadamia,,,https://cdn0.woolworths.media/content/wowproductimages/large/911300.jpg
9.35689E+12,Gem Deodorant Coconut & Vanilla 127g,Woolworths,23821,911043,NSW,1050,525,127g,https://www.woolworths.com.au/shop/productdetails/911043/gem-deodorant-coconut-vanilla,,,https://cdn0.woolworths.media/content/wowproductimages/large/911043.jpg
9.31009E+12,Kleenex Ultimate 6ply Tissues 20 pack,Woolworths,23821,6006077,NSW,200,100,20 pack,https://www.woolworths.com.au/shop/productdetails/6006077/kleenex-ultimate-6ply-tissues,,,https://cdn0.woolworths.media/content/wowproductimages/large/6006077.jpg
9.33034E+12,Wet Ones Moist Wipes Gentle 15 pack,Woolworths,23821,701906,NSW,195,220,15 pack,https://www.woolworths.com.au/shop/productdetails/701906/wet-ones-moist-wipes-gentle,,,https://cdn0.woolworths.media/content/wowproductimages/large/701906.jpg
9.31009E+12,Huggies Baby Wipes With Coconut Oil 400 pack,Woolworths,22059,904773,NSW,1800,1800,400 pack,https://www.woolworths.com.au/shop/productdetails/904773/huggies-baby-wipes-with-coconut-oil,,,https://cdn0.woolworths.media/content/wowproductimages/large/904773.jpg
9.31009E+12,Huggies Thick Baby Wipes Coconut Oil 240 pack,Woolworths,22059,632910,NSW,1400,1070,240 pack,https://www.woolworths.com.au/shop/productdetails/632910/huggies-thick-baby-wipes-coconut-oil,,,https://cdn0.woolworths.media/content/wowproductimages/large/632910.jpg
9.31009E+12,Huggies Thick Baby Wipes Fragrance Free 240 pack,Woolworths,22059,640827,NSW,1400,1070,240 pack,https://www.woolworths.com.au/shop/productdetails/640827/huggies-thick-baby-wipes-fragrance-free,,,https://cdn0.woolworths.media/content/wowproductimages/large/640827.jpg
2.84909E+11,Woolworths Mini Chocolate Croissant 8 pack,Woolworths,22068,517746,NSW,400,460,8 pack,https://www.woolworths.com.au/shop/productdetails/517746/woolworths-mini-chocolate-croissant,,,https://cdn0.woolworths.media/content/wowproductimages/large/517746.jpg
2.83711E+11,Woolworths Mini Croissant 8 pack,Woolworths,22068,333359,NSW,400,460,8 pack,https://www.woolworths.com.au/shop/productdetails/333359/woolworths-mini-croissant,,,https://cdn0.woolworths.media/content/wowproductimages/large/333359.jpg
2.82534E+11,Woolworths Mini Feta & Spinach Swirl 8 pack,Woolworths,22068,387754,NSW,400,460,8 pack,https://www.woolworths.com.au/shop/productdetails/387754/woolworths-mini-feta-spinach-swirl,,,https://cdn0.woolworths.media/content/wowproductimages/large/387754.jpg
5.00022E+12,Mr Kipling Cake Angel Slices Snack Pack 6 pack,Woolworths,22076,846809,NSW,300,600,6 pack,https://www.woolworths.com.au/shop/productdetails/846809/mr-kipling-cake-angel-slices-snack-pack,,,https://cdn0.woolworths.media/content/wowproductimages/large/846809.jpg
5.00022E+12,Mr Kipling Choc Slice 6 pack,Woolworths,22076,814598,NSW,300,600,6 pack,https://www.woolworths.com.au/shop/productdetails/814598/mr-kipling-choc-slice,,,https://cdn0.woolworths.media/content/wowproductimages/large/814598.jpg
