Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369999004477,Seabounty Fresh Blue Mussels | 1 KG,coles,24055,5145758,NSW,,1100,,1100,1kg,https://www.coles.com.au/product/seabounty-fresh-blue-mussels-1-kg-5145758,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5145758.jpg&w=640&q=90
9310645269931,Coles Fresh. Pink Ling Fillet | approx 1kg,coles,22761,1024423,NSW,,4000,,4000,1kg,https://www.coles.com.au/product/coles-fresh.-pink-ling-fillet-approx-1kg-1024423,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1024423.jpg&w=640&q=90
4024472172733,Melitta Filter Coffee Blue Mountain Style | 250g,coles,22174,344076,NSW,700,1050,280,420,250g,https://www.coles.com.au/product/melitta-filter-coffee-blue-mountain-style-250g-344076,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F344076.jpg&w=640&q=90
9300675091831,Sprite Zero Sugar Lemonade Soft Drink Multipack Bottles 12x300ml | 12 pack,coles,22218,5192838,NSW,,2000,,556,12pack,https://www.coles.com.au/product/sprite-zero-sugar-lemonade-soft-drink-multipack-bottles-12x300ml-12-pack-5192838,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5192838.jpg&w=640&q=90
9300675014816,Sprite Lemonade Soft Drink 10x375ml | 10 pack,coles,22219,1849329,NSW,,1000,,267,10pack,https://www.coles.com.au/product/sprite-lemonade-soft-drink-10x375ml-10-pack-1849329,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1849329.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,NSW,800,800,4000,4000,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,VIC,990,990,4950,4950,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,QLD,990,850,4950,4250,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,SA,990,990,4950,4950,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,TAS,850,850,4250,4250,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,ACT,800,800,4000,4000,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9421001731020,Fresh Eureka Premium Blueberries | 200g,coles,22355,1736275,NT,990,990,4950,4950,200g,https://www.coles.com.au/product/fresh-eureka-premium-blueberries-200g-1736275,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1736275.jpg&w=640&q=90
9369998171941,Coles Red Cherries Loose | approx. 500g,coles,22355,409535,NSW,896,995,1990,1990,500g,https://www.coles.com.au/product/coles-red-cherries-loose-approx.-500g-409535,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409535.jpg&w=640&q=90
9369998171941,Coles Red Cherries Loose | approx. 500g,coles,22355,409535,ACT,896,995,1990,1990,500g,https://www.coles.com.au/product/coles-red-cherries-loose-approx.-500g-409535,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409535.jpg&w=640&q=90
9326300001716,Coles King Edwards Brushed Potato | 2kg,coles,22389,2515748,TAS,550,750,275,375,2kg,https://www.coles.com.au/product/coles-king-edwards-brushed-potato-2kg-2515748,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2515748.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,VIC,,550,,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,NSW,550,550,2075,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,QLD,,550,,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,SA,,550,,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,TAS,,550,,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,ACT,,550,,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9317948012424,Perfection Air Fryer Veg Broccolini Thai Chilli Lime | 265g,coles,22390,7744447,NT,,550,,2075,265g,https://www.coles.com.au/product/perfection-air-fryer-veg-broccolini-thai-chilli-lime-265g-7744447,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7744447.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,VIC,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,NSW,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,QLD,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
