Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9316389780862,Jindi Brie | 125g,coles,22094,6139229,NSW,550,400,4400,3200,125g,https://www.coles.com.au/product/jindi-brie-125g-6139229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6139229.jpg&w=640&q=90
9310625012120,Meggles Free Range Eggs Xlarge 12 Pack | 700g,coles,22114,6594622,NSW,880,550,126,79,700g,https://www.coles.com.au/product/meggles-free-range-eggs-xlarge-12-pack-700g-6594622,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6594622.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,VIC,750,750,1500,1500,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,NSW,690,690,1380,1380,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,QLD,690,690,1380,1380,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,SA,,690,,1380,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,TAS,,790,,1580,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,ACT,690,690,1380,1380,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9369998049707,Coles Organic Zucchini | 500g,coles,22393,5032219,NT,690,690,1380,1380,500g,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5032219.jpg&w=640&q=90
9323946000707,Coles Tuscan Kale | 1 each,coles,22393,6584243,VIC,450,450,450,450,1each,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6584243.jpg&w=640&q=90
9323946000707,Coles Tuscan Kale | 1 each,coles,22393,6584243,TAS,,450,,450,1each,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6584243.jpg&w=640&q=90
